id,nfo_type,quantity,entry_price,exit_price,profit,placed_at,exited_at,strike,option_type,strategy_id,strategy_name,symbol
4885,option,100,163.55,233.55,7000.0,2021-10-26 06:55:03.467416+00:00,2021-10-27 04:50:04.902953+00:00,18100,ce,4,Nifty50 Pyramiding_10,NIFTY
4888,option,100,157.8,233.55,7575.0,2021-10-26 07:00:02.006609+00:00,2021-10-27 04:50:04.902953+00:00,18100,ce,4,Nifty50 Pyramiding_10,NIFTY
7730,option,-100,173.55,170.4,-315.00000000000057,2021-11-03 07:10:02.876499+00:00,2021-11-03 08:30:01.524846+00:00,17950,pe,4,Nifty50 Pyramiding_10,NIFTY
7743,option,-100,152.3,143.35,-895.0000000000017,2021-11-03 07:20:00.924533+00:00,2021-11-03 08:30:01.524846+00:00,17900,pe,4,Nifty50 Pyramiding_10,NIFTY
7740,option,-250,100.65,107.3,1662.499999999998,2021-11-03 07:15:26.511141+00:00,2021-11-03 08:35:07.440260+00:00,3750,pe,12,Baj-Auto Pyramiding[10]_atm,BAJAJ-AUTO
9638,option,-1200,16.45,17.25,960.0000000000009,2021-11-12 05:00:14.737646+00:00,2021-11-12 06:35:19.953728+00:00,740,pe,6,AxisBank Pyramiding_10_vol,AXISBANK
9670,option,-1200,18.25,17.25,-1200.0,2021-11-12 05:20:06.915980+00:00,2021-11-12 06:35:19.953728+00:00,740,pe,6,AxisBank Pyramiding_10_vol,AXISBANK
5441,option,-100,151.35,150.75,-59.99999999999943,2021-10-27 07:05:01.584404+00:00,2021-10-27 07:45:01.973945+00:00,18450,pe,4,Nifty50 Pyramiding_10,NIFTY
9644,option,-250,76.5,112.85,9087.499999999998,2021-11-12 05:05:07.154085+00:00,2021-11-12 07:30:15.247895+00:00,3700,pe,12,Baj-Auto Pyramiding[10]_atm,BAJAJ-AUTO
9653,option,-250,77.0,112.85,8962.499999999998,2021-11-12 05:10:11.378623+00:00,2021-11-12 07:30:15.247895+00:00,3700,pe,12,Baj-Auto Pyramiding[10]_atm,BAJAJ-AUTO
9661,option,-250,79.75,112.85,8274.999999999998,2021-11-12 05:15:09.980850+00:00,2021-11-12 07:30:15.247895+00:00,3700,pe,12,Baj-Auto Pyramiding[10]_atm,BAJAJ-AUTO
5777,option,-100,160.2,162.5,230.00000000000114,2021-10-28 04:20:02.715843+00:00,2021-10-28 04:25:00.819180+00:00,18250,pe,2,Bank50 Pyramiding_1,NIFTY
5694,option,-100,191.25,256.0,6475.0,2021-10-28 03:45:11.730998+00:00,2021-10-28 04:25:00.819180+00:00,18350,pe,2,Bank50 Pyramiding_1,NIFTY
5776,option,-100,160.2,,1050.0,2021-10-28 04:20:02.148771+00:00,2021-10-28 05:02:37.143706+00:00,18250,pe,4,Nifty50 Pyramiding_10,NIFTY
8220,option,250,85.05,81.0,-1012.4999999999993,2021-11-08 07:35:02.957110+00:00,2021-11-08 07:55:56.450595+00:00,3800,ce,12,Baj-Auto Pyramiding[10]_atm,BAJAJ-AUTO
8206,option,100,184.2,201.0,1680.0000000000011,2021-11-08 07:25:07.150504+00:00,2021-11-08 09:30:01.311797+00:00,17950,ce,2,Bank50 Pyramiding_1,NIFTY
8208,option,100,184.25,202.0,1775.0,2021-11-08 07:25:08.622803+00:00,2021-11-08 09:30:01.440324+00:00,17950,ce,4,Nifty50 Pyramiding_10,NIFTY
8227,option,100,164.6,165.4,80.00000000000114,2021-11-08 07:45:01.425842+00:00,2021-11-08 09:30:01.440324+00:00,18000,ce,4,Nifty50 Pyramiding_10,NIFTY
8232,option,100,155.4,165.4,1000.0,2021-11-08 07:50:02.714165+00:00,2021-11-08 09:30:01.440324+00:00,18000,ce,4,Nifty50 Pyramiding_10,NIFTY
9655,option,-1200,17.65,16.65,-1200.0,2021-11-12 05:15:01.133650+00:00,2021-11-12 08:15:05.526531+00:00,740,pe,16,AxisBank Pyramiding_10_atm,AXISBANK
