id,nfo_type,quantity,entry_price,exit_price,profit,placed_at,exited_at,strike,option_type,strategy_id,strategy_name,symbol
21121,option,-100,175.8,163.95,-1215.0000000000023,2021-12-30 06:30:01.458394+00:00,2021-12-30 07:05:06.223731+00:00,17400,pe,4,Nifty50 Pyramiding_10,NIFTY
21122,option,100,177.05,175.35,-200.0000000000017,2021-12-30 06:30:03.222500+00:00,2021-12-30 08:50:01.313329+00:00,17050,ce,2,Nifty50 Pyramiding_1,NIFTY
21123,option,100,177.05,149.3,-2805.0,2021-12-30 06:30:01.422111+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21124,option,-25,491.1,378.65,-2841.250000000001,2021-12-30 06:30:04.869476+00:00,2021-12-30 07:30:03.722001+00:00,35400,pe,3,BankNifty Pyramiding_10,BANKNIFTY
21126,option,100,179.45,149.3,-3044.9999999999977,2021-12-30 06:30:26.285697+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21127,option,100,186.9,149.3,-3789.9999999999995,2021-12-30 06:35:01.149679+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21128,option,-100,166.15,163.95,-250.0000000000017,2021-12-30 06:35:01.252420+00:00,2021-12-30 07:05:06.223731+00:00,17400,pe,4,Nifty50 Pyramiding_10,NIFTY
21129,option,-25,452.75,378.65,-1882.5000000000005,2021-12-30 06:35:02.719376+00:00,2021-12-30 07:30:03.722001+00:00,35400,pe,3,BankNifty Pyramiding_10,BANKNIFTY
21131,option,100,184.65,175.35,-960.0000000000011,2021-12-30 06:40:01.400324+00:00,2021-12-30 08:50:01.313329+00:00,17050,ce,2,Nifty50 Pyramiding_1,NIFTY
21132,option,-100,167.85,163.95,-420.00000000000057,2021-12-30 06:40:01.444879+00:00,2021-12-30 07:05:06.223731+00:00,17400,pe,4,Nifty50 Pyramiding_10,NIFTY
21133,option,100,184.65,149.3,-3564.9999999999995,2021-12-30 06:40:02.925018+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21134,option,-25,458.5,378.65,-2026.2500000000005,2021-12-30 06:40:04.238584+00:00,2021-12-30 07:30:03.722001+00:00,35400,pe,3,BankNifty Pyramiding_10,BANKNIFTY
21136,option,-100,172.45,163.95,-880.0,2021-12-30 06:45:01.062773+00:00,2021-12-30 07:05:06.223731+00:00,17400,pe,4,Nifty50 Pyramiding_10,NIFTY
21137,option,100,180.0,149.3,-3099.999999999999,2021-12-30 06:45:01.559688+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21138,option,25,451.25,543.5,2276.25,2021-12-30 06:45:03.070152+00:00,2021-12-30 09:15:05.190669+00:00,34500,ce,26,BankNifty Pyramiding_11_26,BANKNIFTY
21140,option,-25,465.5,378.65,-2201.2500000000005,2021-12-30 06:45:02.730408+00:00,2021-12-30 07:30:03.722001+00:00,35400,pe,3,BankNifty Pyramiding_10,BANKNIFTY
21141,option,100,182.85,149.3,-3384.999999999998,2021-12-30 06:50:01.247949+00:00,2021-12-30 09:35:01.153445+00:00,17050,ce,101,"Nifty50 Every Candle[12,14]",NIFTY
21142,option,-100,169.8,163.95,-615.0000000000023,2021-12-30 06:50:01.108649+00:00,2021-12-30 07:05:06.223731+00:00,17400,pe,4,Nifty50 Pyramiding_10,NIFTY
