Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
51,Exit Short,long,2022-01-13 11:10,18243.00,1,-1724.00,-0.19,6489.50,-0.02,572.50,0.06,2267.50,0.25
52,Entry Short,short,2022-01-13 10:45,18215.45,1,-1401.50,-0.15,5108.00,-0.01,95.00,0.01,1945.00,0.21
52,Exit Short,long,2022-01-13 11:10,18243.00,1,-1401.50,-0.15,5108.00,-0.01,95.00,0.01,1945.00,0.21
53,Entry Short,short,2022-01-13 10:50,18237.00,1,-324.00,-0.04,4804.00,0,170.00,0.02,867.50,0.1
53,Exit Short,long,2022-01-13 11:10,18243.00,1,-324.00,-0.04,4804.00,0,170.00,0.02,867.50,0.1
54,Entry Long,long,2022-01-13 11:10,18243.00,1,129.89,0.01,4613.89,0,2053.50,0.23,149.00,0.02
54,Exit Long,short,2022-01-13 13:15,18245.70,1,129.89,0.01,4613.89,0,2053.50,0.23,149.00,0.02
55,Entry Long,long,2022-01-13 11:15,18247.90,1,-131.11,-0.01,4502.78,0,1792.50,0.2,410.00,0.04
55,Exit Long,short,2022-01-13 13:15,18245.70,1,-131.11,-0.01,4502.78,0,1792.50,0.2,410.00,0.04
56,Entry Long,long,2022-01-13 11:20,18254.00,1,-436.11,-0.05,4086.67,0,1487.50,0.16,715.00,0.08
56,Exit Long,short,2022-01-13 13:15,18245.70,1,-436.11,-0.05,4086.67,0,1487.50,0.16,715.00,0.08
57,Entry Long,long,2022-01-13 11:25,18256.85,1,-578.61,-0.06,3528.06,-0.01,1345.00,0.15,857.50,0.09
57,Exit Long,short,2022-01-13 13:15,18245.70,1,-578.61,-0.06,3528.06,-0.01,1345.00,0.15,857.50,0.09
58,Entry Long,long,2022-01-13 11:30,18259.85,1,-728.61,-0.08,2819.44,-0.01,1195.00,0.13,1007.50,0.11
58,Exit Long,short,2022-01-13 13:15,18245.70,1,-728.61,-0.08,2819.44,-0.01,1195.00,0.13,1007.50,0.11
59,Entry Long,long,2022-01-13 11:35,18249.60,1,-216.11,-0.02,2623.33,0,1707.50,0.19,495.00,0.05
59,Exit Long,short,2022-01-13 13:15,18245.70,1,-216.11,-0.02,2623.33,0,1707.50,0.19,495.00,0.05
60,Entry Long,long,2022-01-13 11:40,18252.35,1,-353.61,-0.04,2289.72,0,1570.00,0.17,632.50,0.07
60,Exit Long,short,2022-01-13 13:15,18245.70,1,-353.61,-0.04,2289.72,0,1570.00,0.17,632.50,0.07
61,Entry Long,long,2022-01-13 11:45,18264.45,1,-958.61,-0.1,1351.11,-0.01,965.00,0.11,1237.50,0.14
61,Exit Long,short,2022-01-13 13:15,18245.70,1,-958.61,-0.1,1351.11,-0.01,965.00,0.11,1237.50,0.14
62,Entry Long,long,2022-01-13 11:50,18266.25,1,-1048.61,-0.11,322.50,-0.01,875.00,0.1,1327.50,0.15
62,Exit Long,short,2022-01-13 13:15,18245.70,1,-1048.61,-0.11,322.50,-0.01,875.00,0.1,1327.50,0.15
63,Entry Long,long,2022-01-13 11:55,18270.05,1,-1238.61,-0.14,-896.11,-0.01,685.00,0.07,1517.50,0.17
