Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
86,Entry Long,long,2022-01-05 10:10,37484.00,1,9083.50,0.97,202979.75,0.09,12578.75,1.34,2420.00,0.26
86,Exit Long,short,2022-01-05 15:05,37848.15,1,9083.50,0.97,202979.75,0.09,12578.75,1.34,2420.00,0.26
87,Entry Long,long,2022-01-05 10:15,37514.15,1,8329.75,0.89,211329.50,0.08,11825.00,1.26,3173.75,0.34
87,Exit Long,short,2022-01-05 15:05,37848.15,1,8329.75,0.89,211329.50,0.08,11825.00,1.26,3173.75,0.34
88,Entry Long,long,2022-01-05 10:20,37542.15,1,7629.75,0.81,218979.25,0.07,11125.00,1.19,3873.75,0.41
88,Exit Long,short,2022-01-05 15:05,37848.15,1,7629.75,0.81,218979.25,0.07,11125.00,1.19,3873.75,0.41
89,Entry Long,long,2022-01-05 10:25,37483.30,1,9101.00,0.97,228100.25,0.09,12596.25,1.34,2402.50,0.26
89,Exit Long,short,2022-01-05 15:05,37848.15,1,9101.00,0.97,228100.25,0.09,12596.25,1.34,2402.50,0.26
90,Entry Long,long,2022-01-05 10:30,37443.00,1,10108.50,1.08,238228.75,0.1,13603.75,1.45,1395.00,0.15
90,Exit Long,short,2022-01-05 15:05,37848.15,1,10108.50,1.08,238228.75,0.1,13603.75,1.45,1395.00,0.15
91,Entry Long,long,2022-01-05 10:35,37476.00,1,9283.50,0.99,247532.25,0.09,12778.75,1.36,2220.00,0.24
91,Exit Long,short,2022-01-05 15:05,37848.15,1,9283.50,0.99,247532.25,0.09,12778.75,1.36,2220.00,0.24
92,Entry Long,long,2022-01-05 10:40,37475.05,1,9307.25,0.99,256859.50,0.09,12802.50,1.37,2196.25,0.23
92,Exit Long,short,2022-01-05 15:05,37848.15,1,9307.25,0.99,256859.50,0.09,12802.50,1.37,2196.25,0.23
93,Entry Long,long,2022-01-05 10:45,37510.95,1,8409.75,0.9,265289.25,0.08,11905.00,1.27,3093.75,0.33
93,Exit Long,short,2022-01-05 15:05,37848.15,1,8409.75,0.9,265289.25,0.08,11905.00,1.27,3093.75,0.33
94,Entry Long,long,2022-01-05 10:50,37452.65,1,9867.25,1.05,275176.50,0.1,13362.50,1.43,1636.25,0.17
94,Exit Long,short,2022-01-05 15:05,37848.15,1,9867.25,1.05,275176.50,0.1,13362.50,1.43,1636.25,0.17
95,Entry Long,long,2022-01-05 10:55,37431.00,1,10408.50,1.11,285605.00,0.1,13903.75,1.49,1095.00,0.12
95,Exit Long,short,2022-01-05 15:05,37848.15,1,10408.50,1.11,285605.00,0.1,13903.75,1.49,1095.00,0.12
96,Entry Long,long,2022-01-05 11:00,37478.25,1,9227.25,0.98,294852.25,0.09,12722.50,1.36,1642.50,0.18
96,Exit Long,short,2022-01-05 15:05,37848.15,1,9227.25,0.98,294852.25,0.09,12722.50,1.36,1642.50,0.18
97,Entry Long,long,2022-01-05 11:05,37478.50,1,9221.00,0.98,304093.25,0.09,12716.25,1.36,1648.75,0.18
97,Exit Long,short,2022-01-05 15:05,37848.15,1,9221.00,0.98,304093.25,0.09,12716.25,1.36,1648.75,0.18
98,Entry Long,long,2022-01-05 11:10,37460.65,1,9667.25,1.03,313780.50,0.09,13162.50,1.41,1202.50,0.13
98,Exit Long,short,2022-01-05 15:05,37848.15,1,9667.25,1.03,313780.50,0.09,13162.50,1.41,1202.50,0.13
99,Entry Long,long,2022-01-05 11:15,37442.05,1,10132.25,1.08,323932.75,0.1,13627.50,1.46,737.50,0.08
99,Exit Long,short,2022-01-05 15:05,37848.15,1,10132.25,1.08,323932.75,0.1,13627.50,1.46,737.50,0.08
100,Entry Long,long,2022-01-05 11:20,37468.35,1,9474.75,1.01,333427.50,0.09,12970.00,1.38,403.75,0.04
100,Exit Long,short,2022-01-05 15:05,37848.15,1,9474.75,1.01,333427.50,0.09,12970.00,1.38,403.75,0.04
101,Entry Long,long,2022-01-05 11:25,37561.85,1,7137.25,0.76,340584.75,0.07,10632.50,1.13,1166.25,0.12
101,Exit Long,short,2022-01-05 15:05,37848.15,1,7137.25,0.76,340584.75,0.07,10632.50,1.13,1166.25,0.12
102,Entry Long,long,2022-01-05 11:30,37588.45,1,6472.25,0.69,347077.00,0.06,9967.50,1.06,1831.25,0.19
102,Exit Long,short,2022-01-05 15:05,37848.15,1,6472.25,0.69,347077.00,0.06,9967.50,1.06,1831.25,0.19
103,Entry Long,long,2022-01-05 11:35,37546.45,1,7522.25,0.8,354619.25,0.07,11017.50,1.17,781.25,0.08
103,Exit Long,short,2022-01-05 15:05,37848.15,1,7522.25,0.8,354619.25,0.07,11017.50,1.17,781.25,0.08
104,Entry Long,long,2022-01-05 11:40,37570.00,1,6933.50,0.74,361572.75,0.07,10428.75,1.11,1370.00,0.15
